# COLMAJOR    = 0
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMV_MAT    GEMV_MKL    GEMV_ULM    GEMV_MAT       DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
 57  6700  6700    6700       1      0.0205      0.0384      0.0388  4372.5190   2338.2068   2316.3240      0.0000 
 58  6800  6800    6800       1      0.0218      0.0395      0.0405  4235.5840   2339.6335   2284.3665      0.0000 
 59  6900  6900    6900       1      0.0222      0.0407      0.0411  4284.9000   2342.4120   2318.7305      0.0000 
 60  7000  7000    7000       1      0.0231      0.0418      0.0430  4233.6000   2342.6295   2279.5229      0.0000 
 61  7100  7100    7100       1      0.0239      0.0431      0.0435  4225.9880   2339.0240   2318.8600      0.0000 
 62  7200  7200    7200       1      0.0244      0.0443      0.0454  4254.5976   2338.4910   2283.4286      0.0000 
 63  7300  7300    7300       1      0.0254      0.0456      0.0460  4190.8703   2335.4183   2318.8064      0.0000 
 64  7400  7400    7400       1      0.0260      0.0468      0.0480  4219.0339   2342.2099   2281.6667      0.0000 
 65  7500  7500    7500       1      0.0269      0.0481      0.0485  4185.0000   2340.0000   2317.5000      0.0000 
 66  7600  7600    7600       1      0.0278      0.0494      0.0505  4158.7200   2337.9048   2287.2960      0.0000 
 67  7700  7700    7700       1      0.0281      0.0507      0.0512  4213.0220   2338.5299   2314.9084      0.0000 
 68  7800  7800    7800       1      0.0292      0.0521      0.0533  4161.4560   2337.2198   2283.0180      0.0000 
 69  7900  7900    7900       1      0.0301      0.0533      0.0540  4144.0240   2341.9321   2312.4024      0.0000 
 70  8000  8000    8000       1      0.0308      0.0548      0.0559  4156.1753   2336.5079   2290.2585      0.0000 
 71  8100  8100    8100       1      0.0317      0.0561      0.0566  4138.2754   2338.5743   2317.1786      0.0000 
 72  8200  8200    8200       1      0.0342      0.0575      0.0591  3930.1312   2339.9520   2277.0518      0.0000 
