# COLMAJOR    = 0
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMV_MAT    GEMV_MKL    GEMV_ULM    GEMV_MAT       DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
 57  6700  6700    6700       1      0.0205      0.0384      0.0388  4381.2640   2338.2068   2316.3240      0.0000 
 58  6800  6800    6800       1      0.0218      0.0395      0.0404  4235.5840   2339.6335   2288.9261      0.0000 
 59  6900  6900    6900       1      0.0223      0.0407      0.0411  4265.8560   2342.4120   2318.7305      0.0000 
 60  7000  7000    7000       1      0.0230      0.0419      0.0430  4253.2000   2337.9722   2279.5229      0.0000 
 61  7100  7100    7100       1      0.0238      0.0431      0.0434  4234.4400   2339.0240   2320.4603      0.0000 
 62  7200  7200    7200       1      0.0243      0.0443      0.0455  4271.6160   2338.4910   2280.9600      0.0000 
 63  7300  7300    7300       1      0.0255      0.0455      0.0461  4182.5219   2340.0798   2314.1873      0.0000 
 64  7400  7400    7400       1      0.0259      0.0469      0.0480  4227.4720   2334.3904   2281.6667      0.0000 
 65  7500  7500    7500       1      0.0269      0.0481      0.0485  4185.0000   2340.0000   2317.5000      0.0000 
 66  7600  7600    7600       1      0.0278      0.0494      0.0505  4150.4192   2337.9048   2287.2960      0.0000 
 67  7700  7700    7700       1      0.0282      0.0506      0.0511  4204.6295   2343.1976   2319.5289      0.0000 
 68  7800  7800    7800       1      0.0293      0.0520      0.0534  4153.1497   2341.8571   2278.4701      0.0000 
 69  7900  7900    7900       1      0.0301      0.0534      0.0539  4152.3785   2337.2669   2317.0180      0.0000 
 70  8000  8000    8000       1      0.0308      0.0548      0.0557  4156.1753   2336.5079   2299.4012      0.0000 
 71  8100  8100    8100       1      0.0317      0.0562      0.0566  4138.2754   2335.7160   2317.1786      0.0000 
 72  8200  8200    8200       1      0.0341      0.0576      0.0589  3937.9602   2335.2814   2281.5968      0.0000 
 73  8300  8300    8300       1      0.0335      0.0588      0.0595  4108.7475   2342.2600   2314.7040      0.0000 
 74  8400  8400    8400       1      0.0343      0.0604      0.0617  4112.4790   2337.9162   2286.1440      0.0000 
 75  8500  8500    8500       1      0.0349      0.0617      0.0625  4136.7793   2340.9000   2313.1423      0.0000 
 76  8600  8600    8600       1      0.0357      0.0633      0.0649  4146.4652   2337.1360   2277.9680      0.0000 
 77  8700  8700    8700       1      0.0375      0.0649      0.0656  4040.8207   2331.2520   2308.1703      0.0000 
 78  8800  8800    8800       1      0.0373      0.0662      0.0678  4148.5714   2340.1352   2283.0916      0.0000 
 79  8900  8900    8900       1      0.0388      0.0677      0.0684  4087.2360   2339.9361   2316.8142      0.0000 
 80  9000  9000    9000       1      0.0393      0.0693      0.0710  4122.4652   2337.1541   2282.1429      0.0000 
 81  9100  9100    9100       1      0.0408      0.0706      0.0716  4058.0199   2347.1098   2314.0519      0.0000 
 82  9200  9200    9200       1      0.0410      0.0725      0.0740  4130.4320   2336.0640   2288.4771      0.0000 
 83  9300  9300    9300       1      0.0419      0.0740      0.0746  4126.7594   2338.4970   2317.9320      0.0000 
 84  9400  9400    9400       1      0.0430      0.0755      0.0775  4110.5845   2339.9684   2279.1270      0.0000 
 85  9500  9500    9500       1      0.0437      0.0771      0.0780  4126.7396   2341.8164   2314.1026      0.0000 
 86  9600  9600    9600       1      0.0451      0.0791      0.0806  4083.7365   2331.3202   2285.5680      0.0000 
 87  9700  9700    9700       1      0.0450      0.0805      0.0813  4177.5960   2338.3314   2314.9127      0.0000 
 88  9800  9800    9800       1      0.0469      0.0821      0.0843  4094.1355   2338.6986   2277.6285      0.0000 
 89  9900  9900    9900       1      0.0479      0.0838      0.0847  4091.8688   2338.2107   2313.0360      0.0000 
 90 10000 10000   10000       1      0.0488      0.0854      0.0874  4095.4274   2341.2698   2287.9684      0.0000 
